Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","11","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","14095","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","14379","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","4012","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","4047","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","118","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","107","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","108","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","99","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","46","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","35","I","Valeur imputée"
